,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
9081,of:000000000000000c,Port#:1,48,3536,13555,144,66,0,0,0,0,1,70,737,6,5,0,0,0,0,1,0,0,0,0,0,True,0,4,449,358,-1,Blackhole,Attack
9082,of:000000000000000c,Port#:2,46,3376,13555,144,66,0,0,0,0,0,0,737,6,5,0,0,0,0,2,0,0,0,0,0,True,0,4,449,358,-1,Blackhole,Attack
9083,of:000000000000000c,Port#:3,141,13447,12933,123,66,0,0,0,0,5,663,667,5,5,0,0,0,0,3,0,0,0,0,0,True,0,4,449,358,-1,Blackhole,Attack
9084,of:000000000000000c,Port#:4,143,13419,11883,124,66,0,0,0,0,6,733,737,6,5,0,0,0,0,4,0,0,0,0,0,True,0,4,449,358,-1,Blackhole,Attack
9085,of:000000000000000a,Port#:1,47,3446,13555,144,66,0,0,0,0,1,70,737,6,4,0,0,0,0,1,0,0,0,0,0,True,0,6,775,686,-1,Blackhole,Attack
9086,of:000000000000000a,Port#:2,222,6306977,20716,248,66,0,0,0,0,62,2232607,3452,43,4,0,0,0,0,2,304,7087,304,7087,304,True,0,6,775,686,-1,Blackhole,Attack
9087,of:000000000000000a,Port#:3,261,21728,13115,124,66,0,0,0,0,43,3448,737,6,4,0,0,0,0,3,0,0,0,0,0,True,0,6,775,686,-1,Blackhole,Attack
9088,of:000000000000000a,Port#:4,116,11277,6316448,314,66,0,0,0,0,6,733,2233344,68,4,0,0,0,0,4,0,0,0,0,0,True,0,6,775,686,-1,Blackhole,Attack
9089,of:000000000000000b,Port#:1,48,3532,13485,143,66,0,0,0,0,0,0,737,6,5,0,0,0,0,1,0,0,0,0,0,True,0,4,301,243,-1,Blackhole,Attack
9090,of:000000000000000b,Port#:2,124,11883,13199,142,66,0,0,0,0,5,667,667,5,5,0,0,0,0,2,0,0,0,0,0,True,0,4,301,243,-1,Blackhole,Attack
