,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
24138,of:000000000000000c,Port#:1,239,16570,29762239,407950,767,0,0,0,0,65,4567,5252378,135,5,0,0,0,0,1,564562,6303438,564562,6303438,564562,True,0,6,641039,640921,-1,Normal,Normal
24139,of:000000000000000c,Port#:2,188,6304558,17163303,407718,767,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,641039,640921,-1,Normal,Normal
24140,of:000000000000000c,Port#:3,173034,19893106,11918797,282852,767,0,0,0,0,133,5252096,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,641039,640921,-1,Normal,Normal
24141,of:000000000000000c,Port#:4,348664,14678238,15182621,210660,767,0,0,0,0,2,278,5127,69,5,0,0,0,0,4,516,7219,516,7219,516,True,0,6,641039,640921,-1,Normal,Normal
24142,of:000000000000000a,Port#:1,190,6304713,10299579,244416,765,0,0,0,0,0,0,322,3,5,0,0,0,0,1,0,0,0,0,0,True,0,4,641252,641136,-1,Normal,Normal
24143,of:000000000000000a,Port#:2,477,12615825,16611214,244710,765,0,0,0,0,0,0,322,3,5,0,0,0,0,2,0,0,0,0,0,True,0,4,641252,641136,-1,Normal,Normal
24144,of:000000000000000a,Port#:3,172974,13596711,12676837,151178,765,0,0,0,0,3,320,280,2,5,0,0,0,0,3,0,0,0,0,0,True,0,4,641252,641136,-1,Normal,Normal
24145,of:000000000000000a,Port#:4,348765,14682190,12801806,154083,765,0,0,0,0,3,320,322,3,5,0,0,0,0,4,0,0,0,0,0,True,0,4,641252,641136,-1,Normal,Normal
24146,of:000000000000000b,Port#:1,132,9196,16304507,237493,770,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,506914,506838,-1,Normal,Normal
24147,of:000000000000000b,Port#:2,184322,14069221,5028482,118852,770,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,506914,506838,-1,Normal,Normal
24148,of:0000000000000003,Port#:1,313341,13164207,19516695,313939,767,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,979879,979763,-1,Normal,Normal
