,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
23116,of:000000000000000c,Port#:1,150,10433,6426600,1056,1381,0,0,0,0,54,3841,3151759,85,5,0,0,0,0,1,367655,6303749,367655,6303749,367655,True,0,6,2948,2835,-1,Overflow,Attack
23117,of:000000000000000c,Port#:2,17,1382,122687,875,1381,0,0,0,0,0,0,280,2,5,0,0,0,0,4,436,8935,436,8935,436,True,0,6,2948,2835,-1,Overflow,Attack
23118,of:000000000000000c,Port#:1,219,15007,9317426,1152,1396,0,0,0,0,69,4574,2889902,88,5,0,0,0,0,1,262680,8930551,262680,8930551,262680,True,0,7,3125,3012,-1,Overflow,Attack
23119,of:000000000000000c,Port#:2,17,1382,124171,887,1396,0,0,0,0,0,0,560,4,5,0,0,0,0,4,-893,0,-893,0,-893,True,0,7,3125,3012,-1,Overflow,Attack
23120,of:000000000000000c,Port#:1,12,996,13734,97,157,0,0,0,0,0,0,560,4,5,0,0,0,0,3,65734,6303286,65734,6303286,65734,True,0,6,593,500,-1,Overflow,Attack
23121,of:000000000000000c,Port#:1,194,6304987,110685,331,187,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1151,1058,-1,Overflow,Attack
23122,of:000000000000000c,Port#:2,313,6313073,6413475,495,187,0,0,0,0,0,0,280,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1151,1058,-1,Overflow,Attack
23123,of:000000000000000c,Port#:3,197,101609,6357665,317,187,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,True,0,5,1151,1058,-1,Overflow,Attack
23124,of:000000000000000c,Port#:1,194,6304987,157033,394,217,0,0,0,0,0,0,560,4,4,0,0,0,0,2,0,0,0,0,0,True,0,5,1368,1275,-1,Overflow,Attack
23125,of:000000000000000c,Port#:2,313,6313073,6459823,558,217,0,0,0,0,0,0,560,4,4,0,0,0,0,3,0,0,0,0,0,True,0,5,1368,1275,-1,Overflow,Attack
23126,of:000000000000000c,Port#:3,260,147937,6360465,337,217,0,0,0,0,4,556,560,4,4,0,0,0,0,4,0,0,0,0,0,True,0,5,1368,1275,-1,Overflow,Attack
23127,of:000000000000000c,Port#:1,195,6305057,264263,500,252,0,0,0,0,0,0,322,3,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1627,1530,-1,Overflow,Attack
23128,of:000000000000000c,Port#:2,314,6313143,6567123,665,252,0,0,0,0,0,0,322,3,5,0,0,0,0,3,0,0,0,0,0,True,0,4,1627,1530,-1,Overflow,Attack
23129,of:000000000000000c,Port#:3,369,258243,6392381,379,252,0,0,0,0,3,320,280,2,5,0,0,0,0,4,0,0,0,0,0,True,0,4,1627,1530,-1,Overflow,Attack
23130,of:000000000000000c,Port#:1,195,6305057,267442,524,282,0,0,0,0,0,0,602,5,4,0,0,0,0,2,0,0,0,0,0,True,0,6,2010,1909,-1,Overflow,Attack
23131,of:000000000000000c,Port#:2,495,12617027,6579389,822,282,0,0,0,0,0,0,602,5,4,0,0,0,0,3,0,0,0,0,0,True,0,6,2010,1909,-1,Overflow,Attack
23132,of:000000000000000c,Port#:3,391,261286,6395518,402,282,0,0,0,0,5,598,560,4,4,0,0,0,0,4,0,0,0,0,0,True,0,6,2010,1909,-1,Overflow,Attack
23133,of:000000000000000c,Port#:1,513,12618237,6663603,868,317,0,0,0,0,26,657349,2273,28,4,0,0,0,0,1,0,0,0,0,0,True,0,6,2743,2642,-1,Overflow,Attack
23134,of:000000000000000c,Port#:2,495,12617027,6584241,872,317,0,0,0,0,0,0,280,2,4,0,0,0,0,2,0,0,0,0,0,True,0,6,2743,2642,-1,Overflow,Attack
23135,of:000000000000000c,Port#:3,415,264428,6400286,450,317,0,0,0,0,2,278,280,2,4,0,0,0,0,3,0,0,0,0,0,True,0,6,2743,2642,-1,Overflow,Attack
23136,of:000000000000000c,Port#:4,820,6765569,12881510,915,317,0,0,0,0,2,278,657629,28,4,0,0,0,0,4,0,0,0,0,0,True,0,6,2743,2642,-1,Overflow,Attack
23137,of:000000000000000a,Port#:1,149,10355,6567375,624,317,0,0,0,0,0,0,280,2,5,0,0,0,0,2,26353,6303287,26353,6303287,26353,True,0,6,3756,3647,-1,Overflow,Attack
