,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
27911,of:000000000000000c,Port#:1,11,942,8606,62,51,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,187,108,-1,PortScan,Attack
27912,of:000000000000000c,Port#:2,11,942,8606,62,51,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,187,108,-1,PortScan,Attack
27913,of:000000000000000c,Port#:3,61,8480,8432,59,51,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,187,108,-1,PortScan,Attack
27914,of:000000000000000c,Port#:4,59,8202,8516,61,51,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,True,0,4,187,108,-1,PortScan,Attack
27915,of:000000000000000a,Port#:1,14161,7059047,771224,14155,51,0,0,0,0,1415,4010061,76024,1382,5,0,0,0,0,1,0,0,0,0,0,True,0,8,28435,28348,-1,PortScan,Attack
27916,of:000000000000000a,Port#:2,11,946,8326,60,51,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,8,28435,28348,-1,PortScan,Attack
27917,of:000000000000000a,Port#:3,60,8438,7066253,14207,51,0,0,0,0,4,556,4013051,1464,5,0,0,0,0,3,0,0,0,0,0,True,0,8,28435,28348,-1,PortScan,Attack
27918,of:000000000000000a,Port#:4,14154,771052,8236,59,51,0,0,0,0,1382,76020,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,8,28435,28348,-1,PortScan,Attack
27919,of:000000000000000b,Port#:1,10,856,8696,63,51,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,125,70,-1,PortScan,Attack
27920,of:000000000000000b,Port#:2,59,8236,8516,61,51,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,125,70,-1,PortScan,Attack
