,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
0,of:000000000000000c,Port#:1,132,9181,6311853,238,46,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,9,767,688,-1,TCP-SYN,Attack
1,of:000000000000000c,Port#:2,187,6304498,15713,171,46,0,0,0,0,146,5908166,5969,84,5,0,0,0,0,2,0,0,0,0,0,True,0,9,767,688,-1,TCP-SYN,Attack
2,of:000000000000000c,Port#:3,235,6311567,8030,58,46,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,True,0,9,767,688,-1,TCP-SYN,Attack
3,of:000000000000000c,Port#:4,59,7878,16439,182,46,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,True,0,9,767,688,-1,TCP-SYN,Attack
4,of:000000000000000a,Port#:1,188,6304547,16497,183,46,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,489,403,-1,TCP-SYN,Attack
5,of:000000000000000a,Port#:2,10,856,8130,60,46,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,7,489,403,-1,TCP-SYN,Attack
6,of:000000000000000a,Port#:3,60,8082,6311515,233,46,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,True,0,7,489,403,-1,TCP-SYN,Attack
7,of:000000000000000a,Port#:4,179,16055,8040,59,46,0,0,0,0,2,278,280,2,5,0,0,0,0,5,0,0,0,0,0,True,0,7,489,403,-1,TCP-SYN,Attack
8,of:000000000000000b,Port#:1,121,8487,6311952,239,46,0,0,0,0,79,5491,5777176,145,5,0,0,0,0,1,0,0,0,0,0,True,0,7,409,353,-1,TCP-SYN,Attack
9,of:000000000000000b,Port#:2,60,8114,8198,62,46,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,7,409,353,-1,TCP-SYN,Attack
10,of:0000000000000003,Port#:1,11,946,8214,62,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,8,1233,1145,-1,TCP-SYN,Attack
11,of:0000000000000003,Port#:2,512,29635,6332447,621,46,0,0,0,0,100,5400,5678,102,5,0,0,0,0,2,-1501,0,-1501,0,-1501,True,0,8,1233,1145,-1,TCP-SYN,Attack
12,of:0000000000000003,Port#:3,232,6311393,36529,556,46,0,0,0,0,2,278,5678,102,5,0,0,0,0,3,-1501,0,-1501,0,-1501,True,0,8,1233,1145,-1,TCP-SYN,Attack
13,of:0000000000000003,Port#:4,446,28882,8124,61,46,0,0,0,0,102,5678,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,8,1233,1145,-1,TCP-SYN,Attack
14,of:0000000000000004,Port#:1,444,28798,7966,58,46,0,0,0,0,101,5624,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,605,516,-1,TCP-SYN,Attack
15,of:0000000000000004,Port#:2,61,8124,28882,446,46,0,0,0,0,2,278,5624,101,5,0,0,0,0,2,567,20682,567,20682,567,True,0,5,605,516,-1,TCP-SYN,Attack
16,of:0000000000000004,Port#:3,55,7840,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,605,516,-1,TCP-SYN,Attack
17,of:0000000000000001,Port#:1,11,942,8098,60,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,6,940,857,-1,TCP-SYN,Attack
18,of:0000000000000001,Port#:2,396,21676,28876,445,46,0,0,0,0,99,5346,5624,101,5,0,0,0,0,2,540,20412,540,20412,540,True,0,6,940,857,-1,TCP-SYN,Attack
19,of:0000000000000001,Port#:3,442,28702,8008,59,46,0,0,0,0,101,5624,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,6,940,857,-1,TCP-SYN,Attack
20,of:0000000000000001,Port#:4,56,7882,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,6,940,857,-1,TCP-SYN,Attack
21,of:0000000000000002,Port#:1,186,6304411,15955,175,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,787,738,-1,TCP-SYN,Attack
22,of:0000000000000002,Port#:2,59,8008,28702,442,46,0,0,0,0,2,278,5624,101,5,0,0,0,0,2,540,20412,540,20412,540,True,0,7,787,738,-1,TCP-SYN,Attack
23,of:0000000000000007,Port#:1,57,7924,7924,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,219,121,-1,TCP-SYN,Attack
24,of:0000000000000007,Port#:2,59,8008,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,219,121,-1,TCP-SYN,Attack
25,of:0000000000000007,Port#:3,58,7998,7924,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,219,121,-1,TCP-SYN,Attack
26,of:0000000000000008,Port#:1,59,8008,8082,60,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,401,307,-1,TCP-SYN,Attack
27,of:0000000000000008,Port#:2,57,7924,7998,58,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,401,307,-1,TCP-SYN,Attack
28,of:0000000000000008,Port#:3,233,6311515,8082,60,46,0,0,0,0,2,280,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,401,307,-1,TCP-SYN,Attack
